Time, CPU(%), Memory(MB), Sent(Bytes), Received(Bytes), Errors, Average Response Time(ms)
2024-09-18 오전 11:50:48, 1.53, 42.00, 1412873, 669785, 0, 0.03
2024-09-18 오전 11:50:49, 0.38, 42.00, 1418765, 672577, 0, 0.00
2024-09-18 오전 11:50:50, 0.00, 42.00, 1424892, 675480, 0, 0.00
2024-09-18 오전 11:50:51, 0.38, 42.00, 1430843, 678300, 0, 0.00
2024-09-18 오전 11:50:52, 0.38, 42.00, 1436735, 681092, 0, 0.03
2024-09-18 오전 11:50:53, 0.00, 42.00, 1442627, 683884, 0, 0.01
2024-09-18 오전 11:50:54, 0.76, 42.00, 1448696, 686760, 0, 0.03
2024-09-18 오전 11:50:55, 0.38, 42.00, 1454588, 689552, 0, 0.06
2024-09-18 오전 11:50:56, 0.38, 42.00, 1460539, 692372, 0, 0.02
2024-09-18 오전 11:50:57, 0.39, 42.00, 1466431, 695164, 0, 0.01
2024-09-18 오전 11:50:58, 0.38, 42.00, 1472440, 698011, 0, 0.00
2024-09-18 오전 11:50:59, 0.00, 42.00, 1478332, 700803, 0, 0.01
2024-09-18 오전 11:51:00, 0.38, 42.00, 1484224, 703595, 0, 0.03
2024-09-18 오전 11:51:01, 1.91, 42.00, 1490116, 706387, 0, 0.01
2024-09-18 오전 11:51:02, 0.39, 42.00, 1496184, 709262, 0, 0.01
2024-09-18 오전 11:51:03, 3.07, 42.00, 1502076, 712054, 0, 0.02
2024-09-18 오전 11:51:04, 0.76, 42.00, 1508204, 714958, 0, 0.03
2024-09-18 오전 11:51:05, 1.15, 42.00, 1514096, 717750, 0, 0.02
2024-09-18 오전 11:51:06, 0.38, 42.00, 1519988, 720542, 0, 0.01
2024-09-18 오전 11:51:07, 0.38, 42.00, 1526116, 723446, 0, 0.04
2024-09-18 오전 11:51:08, 3.09, 42.00, 1532008, 726238, 0, 0.00
2024-09-18 오전 11:51:09, 0.38, 42.00, 1537900, 729030, 0, 0.00
2024-09-18 오전 11:51:10, 0.77, 42.00, 1543792, 731822, 0, 0.00
2024-09-18 오전 11:51:11, 0.00, 42.00, 1549684, 734614, 0, 0.01
2024-09-18 오전 11:51:12, 0.38, 42.00, 1555576, 737406, 0, 0.00
2024-09-18 오전 11:51:13, 1.14, 42.00, 1561645, 740282, 0, 0.00
2024-09-18 오전 11:51:14, 0.00, 42.00, 1567537, 743074, 0, 0.00
2024-09-18 오전 11:51:15, 0.77, 42.00, 1573429, 745866, 0, 0.00
2024-09-18 오전 11:51:16, 0.38, 42.00, 1579557, 748770, 0, 0.00
2024-09-18 오전 11:51:17, 0.39, 42.00, 1585449, 751562, 0, 0.00
2024-09-18 오전 11:51:18, 0.38, 42.00, 1591459, 754410, 0, 0.00
2024-09-18 오전 11:51:19, 0.00, 42.00, 1597351, 757202, 0, 0.00
2024-09-18 오전 11:51:20, 0.39, 42.00, 1603243, 759994, 0, 0.01
2024-09-18 오전 11:51:21, 0.76, 42.00, 1609194, 762814, 0, 0.00
2024-09-18 오전 11:51:22, 0.38, 42.00, 1615086, 765606, 0, 0.00
2024-09-18 오전 11:51:23, 1.16, 42.00, 1621332, 768566, 0, 0.01
2024-09-18 오전 11:51:24, 0.00, 42.00, 1627224, 771358, 0, 0.00
2024-09-18 오전 11:51:26, 0.38, 42.00, 1633116, 774150, 0, 0.00
2024-09-18 오전 11:51:27, 0.38, 42.00, 1639008, 776942, 0, 0.00
2024-09-18 오전 11:51:28, 0.39, 42.00, 1644900, 779734, 0, 0.00
2024-09-18 오전 11:51:29, 0.38, 42.00, 1651205, 782722, 0, 0.00
2024-09-18 오전 11:51:30, 1.54, 42.00, 1657097, 785514, 0, 0.01
2024-09-18 오전 11:51:31, 1.54, 42.00, 1662989, 788306, 0, 0.00
2024-09-18 오전 11:51:32, 0.76, 42.00, 1668881, 791098, 0, 0.01
2024-09-18 오전 11:51:33, 0.39, 42.00, 1674773, 793890, 0, 0.03
2024-09-18 오전 11:51:34, 0.38, 42.00, 1680783, 796738, 0, 0.00
2024-09-18 오전 11:51:35, 0.00, 42.00, 1686675, 799530, 0, 0.00
2024-09-18 오전 11:51:36, 0.39, 42.00, 1692567, 802322, 0, 0.03
2024-09-18 오전 11:51:37, 0.38, 42.00, 1698459, 805114, 0, 0.00
2024-09-18 오전 11:51:38, 1.15, 42.00, 1704351, 807906, 0, 0.00
2024-09-18 오전 11:51:39, 1.15, 42.00, 1710243, 810698, 0, 0.07
