Time, CPU(%), Memory(MB), Sent(Bytes), Received(Bytes), Errors, Average Response Time(ms)
2024-09-17 오후 10:44:32, 0.77, 42.00, 749611, 355198, 0, 0.51
2024-09-17 오후 10:44:33, 0.00, 42.00, 755503, 357990, 0, 0.37
2024-09-17 오후 10:44:34, 0.39, 42.00, 761395, 360782, 0, 0.65
2024-09-17 오후 10:44:35, 0.38, 42.00, 767287, 363574, 0, 0.09
2024-09-17 오후 10:44:36, 0.38, 42.00, 773179, 366366, 0, 0.49
2024-09-17 오후 10:44:37, 1.54, 42.00, 779071, 369158, 0, 0.79
2024-09-17 오후 10:44:38, 0.00, 42.00, 784904, 371922, 0, 0.65
2024-09-17 오후 10:44:39, 0.77, 42.00, 790796, 374714, 0, 0.54
2024-09-17 오후 10:44:40, 0.38, 42.00, 796688, 377506, 0, 0.32
2024-09-17 오후 10:44:41, 0.77, 42.00, 802580, 380298, 0, 0.49
2024-09-17 오후 10:44:42, 0.77, 42.00, 808472, 383090, 0, 0.44
2024-09-17 오후 10:44:43, 0.39, 42.00, 814364, 385882, 0, 0.23
2024-09-17 오후 10:44:44, 0.77, 42.00, 820256, 388674, 0, 0.30
2024-09-17 오후 10:44:45, 0.00, 42.00, 826148, 391466, 0, 0.36
2024-09-17 오후 10:44:46, 0.00, 42.00, 832040, 394258, 0, 0.47
2024-09-17 오후 10:44:47, 0.00, 42.00, 837932, 397050, 0, 0.43
2024-09-17 오후 10:44:48, 0.00, 42.00, 843824, 399842, 0, 0.46
2024-09-17 오후 10:44:49, 0.77, 42.00, 845533, 400652, 0, 0.55
2024-09-17 오후 10:44:50, 0.38, 42.00, 851425, 403444, 0, 0.33
2024-09-17 오후 10:44:51, 0.38, 42.00, 856257, 405734, 0, 0.22
2024-09-17 오후 10:44:52, 0.39, 42.00, 861736, 408330, 0, 0.23
2024-09-17 오후 10:44:53, 0.38, 42.00, 867628, 411122, 0, 0.28
2024-09-17 오후 10:44:54, 0.00, 42.00, 873343, 413830, 0, 0.59
2024-09-17 오후 10:44:55, 0.76, 42.00, 879235, 416622, 0, 0.25
2024-09-17 오후 10:44:56, 0.38, 42.00, 885127, 419414, 0, 0.30
2024-09-17 오후 10:44:57, 0.00, 42.00, 891019, 422206, 0, 0.45
2024-09-17 오후 10:44:58, 0.39, 42.00, 896911, 424998, 0, 0.26
2024-09-17 오후 10:44:59, 0.38, 42.00, 902744, 427762, 0, 0.12
2024-09-17 오후 10:45:00, 0.38, 42.00, 908636, 430554, 0, 0.13
2024-09-17 오후 10:45:01, 0.38, 42.00, 914528, 433346, 0, 0.30
2024-09-17 오후 10:45:02, 0.00, 42.00, 920420, 436138, 0, 0.28
2024-09-17 오후 10:45:03, 0.38, 42.00, 926312, 438930, 0, 0.30
2024-09-17 오후 10:45:04, 0.77, 42.00, 932204, 441722, 0, 0.22
2024-09-17 오후 10:45:06, 0.00, 42.00, 938096, 444514, 0, 0.32
2024-09-17 오후 10:45:07, 0.00, 42.00, 943988, 447306, 0, 0.44
2024-09-17 오후 10:45:08, 0.38, 42.00, 945697, 448116, 0, 0.38
