Time, CPU(%), Memory(MB), Sent(Bytes), Received(Bytes), Errors, Average Response Time(ms)
2024-09-18 오후 12:22:24, 0.38, 42.00, 966848, 458430, 0, 0.07
2024-09-18 오후 12:22:25, 0.00, 42.00, 972976, 461334, 0, 0.05
2024-09-18 오후 12:22:26, 0.38, 42.00, 978986, 464182, 0, 0.05
2024-09-18 오후 12:22:27, 0.00, 42.00, 984878, 466974, 0, 0.15
2024-09-18 오후 12:22:28, 0.00, 42.00, 990770, 469766, 0, 0.10
2024-09-18 오후 12:22:29, 0.38, 42.00, 996662, 472558, 0, 0.02
2024-09-18 오후 12:22:30, 0.38, 42.00, 1002554, 475350, 0, 0.08
2024-09-18 오후 12:22:31, 0.38, 42.00, 1008446, 478142, 0, 0.08
2024-09-18 오후 12:22:32, 0.00, 42.00, 1014338, 480934, 0, 0.06
2024-09-18 오후 12:22:33, 0.38, 42.00, 1020643, 483922, 0, 0.07
2024-09-18 오후 12:22:34, 0.38, 42.00, 1026535, 486714, 0, 0.06
2024-09-18 오후 12:22:35, 0.38, 42.00, 1032545, 489562, 0, 0.09
2024-09-18 오후 12:22:36, 0.38, 42.00, 1038437, 492354, 0, 0.15
2024-09-18 오후 12:22:37, 0.00, 42.00, 1044329, 495146, 0, 0.19
2024-09-18 오후 12:22:38, 0.38, 42.00, 1050221, 497938, 0, 0.17
2024-09-18 오후 12:22:39, 0.00, 42.00, 1056349, 500842, 0, 0.24
2024-09-18 오후 12:22:40, 0.00, 42.00, 1062241, 503634, 0, 0.07
2024-09-18 오후 12:22:41, 0.38, 42.00, 1068133, 506426, 0, 0.09
2024-09-18 오후 12:22:42, 0.38, 42.00, 1074025, 509218, 0, 0.08
2024-09-18 오후 12:22:43, 0.00, 42.00, 1080094, 512094, 0, 0.12
2024-09-18 오후 12:22:44, 0.38, 42.00, 1085986, 514886, 0, 0.16
2024-09-18 오후 12:22:45, 1.15, 42.00, 1092291, 517874, 0, 0.10
2024-09-18 오후 12:22:46, 0.00, 42.00, 1098360, 520750, 0, 0.06
2024-09-18 오후 12:22:47, 0.38, 42.00, 1104252, 523542, 0, 0.13
2024-09-18 오후 12:22:48, 0.76, 42.00, 1110262, 526390, 0, 0.12
2024-09-18 오후 12:22:49, 0.00, 42.00, 1116154, 529182, 0, 0.03
2024-09-18 오후 12:22:50, 0.77, 42.00, 1122046, 531974, 0, 0.07
2024-09-18 오후 12:22:51, 0.00, 42.00, 1127938, 534766, 0, 0.06
2024-09-18 오후 12:22:52, 0.38, 42.00, 1133830, 537558, 0, 0.06
2024-09-18 오후 12:22:53, 0.00, 42.00, 1139898, 540433, 0, 0.05
2024-09-18 오후 12:22:54, 0.39, 42.00, 1145790, 543225, 0, 0.04
2024-09-18 오후 12:22:55, 0.39, 42.00, 1151682, 546017, 0, 0.06
2024-09-18 오후 12:22:56, 0.38, 42.00, 1157574, 548809, 0, 0.05
2024-09-18 오후 12:22:57, 1.93, 42.00, 1163466, 551601, 0, 0.03
2024-09-18 오후 12:22:58, 0.76, 42.00, 1169358, 554393, 0, 0.02
2024-09-18 오후 12:22:59, 0.39, 42.00, 1175250, 557185, 0, 0.02
2024-09-18 오후 12:23:00, 0.77, 42.00, 1181260, 560033, 0, 0.01
2024-09-18 오후 12:23:01, 0.38, 42.00, 1187152, 562825, 0, 0.18
2024-09-18 오후 12:23:02, 0.38, 42.00, 1193044, 565617, 0, 0.11
2024-09-18 오후 12:23:03, 0.38, 42.00, 1199525, 568688, 0, 0.13
2024-09-18 오후 12:23:04, 0.00, 42.00, 1205417, 571480, 0, 0.17
